   1            test-1    355012.6438   1360321.51172 
   2            test-2    363214.1417   1363226.41256 
   3            test-3    361352.2083   1361022.69677 
   4            test-4    370924.2690   1364307.53784 
   5            test-5    364902.9162   1364520.34775 
   6            test-6    365544.2683   1372914.01047 
   7            test-7    364528.6231   1370916.12437 
   8            test-8    370242.6210   1375225.81239 
   9            test-9    371352.0439   1382000.81849
   4            test-4    364223.3166   1375220.38256
   5            test-5    365155.4416   1381155.24189 
   6            test-6    371243.6124   1383804.52453 
   7            test-7    373208.9921   1384224.95608 
